count,RSHash,JSHash,PJWHash,ELFHash,BKDRHash,SDBMHash,DJBHash,DEKHash,APHash
5000,0,0,0,0,0,0,0,0,0
10000,0,0,1,1,0,0,0,0,0
15000,0,0,1,1,0,0,0,0,0
20000,0,0,1,1,0,0,0,0,0
25000,0,0,2,2,0,0,0,0,0
30000,0,0,2,2,0,0,0,0,0
35000,0,0,2,2,0,0,0,0,0
40000,0,0,3,3,0,0,0,0,0
45000,0,0,4,4,0,0,0,0,0
50000,0,0,7,7,0,0,1,0,0
55000,0,0,8,8,0,1,1,0,0
60000,0,0,10,10,0,1,1,0,0
65000,0,0,11,11,0,1,1,0,0
70000,0,0,13,13,0,1,1,0,0
75000,0,0,14,14,0,1,1,0,1
80000,0,0,15,15,0,1,1,0,1
85000,0,0,18,18,0,1,1,0,1
90000,0,1,20,20,1,1,3,1,1
95000,0,1,20,20,1,1,3,1,1
100000,0,1,22,22,1,1,3,1,1
